station,location,ate,temp,precipitation,windspeed,RH
108,seoul,2019.1.1,-5,,2.1,49.5
108,seoul,2019.1.2,-4.9,,1.7,42.8
108,seoul,2019.1.3,-3.5,,1.4,38.8
108,seoul,2019.1.4,-1.1,,1.2,55.5
108,seoul,2019.1.5,-2.8,,2.2,40.3
108,seoul,2019.1.6,-2.8,,1.2,35
108,seoul,2019.1.7,-1.9,,1.4,46.4
108,seoul,2019.1.8,-3.5,,2.6,31
108,seoul,2019.1.9,-4.7,,1.3,28.8
108,seoul,2019.1.10,-0.6,,1.3,48.8
108,seoul,2019.1.11,2.4,,1,58.8
108,seoul,2019.1.12,2.8,,1.3,47.6
108,seoul,2019.1.13,1.2,,1.4,54.3
108,seoul,2019.1.14,1.4,,0.9,68.6
108,seoul,2019.1.15,-1.7,0,2.7,58.8
108,seoul,2019.1.16,-5.2,0,2.3,45.9
108,seoul,2019.1.17,-0.3,0,1.7,45.8
108,seoul,2019.1.18,0.6,,1.3,44
108,seoul,2019.1.19,3.6,,1.2,59.8
108,seoul,2019.1.20,-1.4,,3.2,38.5
108,seoul,2019.1.21,-1.2,0,1.6,57.8
108,seoul,2019.1.22,1.7,,1.7,62
108,seoul,2019.1.23,2,,2.3,48.9
108,seoul,2019.1.24,0.1,,1.7,34.9
108,seoul,2019.1.25,-1.2,,2.6,27.6
108,seoul,2019.1.26,-2.5,,2.4,30.9
108,seoul,2019.1.27,-0.1,,1.7,52.5
108,seoul,2019.1.28,1.2,0,3.1,40.4
108,seoul,2019.1.29,-0.2,,1.5,35.5
108,seoul,2019.1.30,1.8,,1.5,54.6
108,seoul,2019.1.31,-2,,2.9,29
108,seoul,2019.2.1,-2.1,0.3,1.7,47.6
108,seoul,2019.2.2,1.4,0,1,60
108,seoul,2019.2.3,3.3,16,1.7,92.9
108,seoul,2019.2.4,-0.6,,2.1,40.4
108,seoul,2019.2.5,2.8,,1,37.1
108,seoul,2019.2.6,5.1,,1.3,54.9
108,seoul,2019.2.7,-2.1,0.5,3.5,45.5
108,seoul,2019.2.8,-6.1,,2.3,31.5
108,seoul,2019.2.9,-5.4,,2.7,30
108,seoul,2019.2.10,-5,,1.7,31.3
108,seoul,2019.2.11,-3,,2.3,34.9
108,seoul,2019.2.12,-0.6,0,1.9,35.5
108,seoul,2019.2.13,-2.1,,2.4,26.6
108,seoul,2019.2.14,-0.5,,1.4,24.3
108,seoul,2019.2.15,-0.8,2.2,1.9,72.8
108,seoul,2019.2.16,-2.7,0.2,2.6,59
108,seoul,2019.2.17,-1.8,,1.9,47.4
108,seoul,2019.2.18,0.9,,1.3,43.5
108,seoul,2019.2.19,1.4,4.6,1.4,80.8
108,seoul,2019.2.20,1.7,0,2.1,67.8
108,seoul,2019.2.21,2.4,,1.5,59.4
108,seoul,2019.2.22,4,,1.5,56.1
108,seoul,2019.2.23,6.8,,1.1,41
108,seoul,2019.2.24,6.3,,1.8,45
108,seoul,2019.2.25,4.7,,2.3,55.8
108,seoul,2019.2.26,5.2,,1.6,32.8
108,seoul,2019.2.27,7.8,,1.6,31.3
108,seoul,2019.2.28,6.6,,2,39.5
108,seoul,2019.3.1,6.6,,2.1,42.3
108,seoul,2019.3.2,7.8,,1.1,37.6
108,seoul,2019.3.3,9.4,,1.5,36.4
108,seoul,2019.3.4,9.9,,1.9,46.1
108,seoul,2019.3.5,8.4,,2,66.3
108,seoul,2019.3.6,8.4,,2,55
108,seoul,2019.3.7,7,,2.2,51.1
108,seoul,2019.3.8,6.1,,1.9,39.4
108,seoul,2019.3.9,7.2,,1.3,31.8
108,seoul,2019.3.10,10.1,,1.2,26.4
108,seoul,2019.3.11,6.6,0,1.8,61
108,seoul,2019.3.12,3.9,0,2.7,55.1
108,seoul,2019.3.13,3.5,0,3.3,38.5
108,seoul,2019.3.14,5,0,1.9,45.3
108,seoul,2019.3.15,5.5,3.5,1.6,72.8
108,seoul,2019.3.16,4.3,,1.8,69.9
108,seoul,2019.3.17,6.3,,2,55.4
108,seoul,2019.3.18,7.1,,1.4,43.8
108,seoul,2019.3.19,10,,1.4,52
108,seoul,2019.3.20,10.3,16.5,1.4,79
108,seoul,2019.3.21,7.1,3.3,2.9,77.4
108,seoul,2019.3.22,3.3,,2.8,40.9
108,seoul,2019.3.23,3.3,1.7,2.4,46.9
108,seoul,2019.3.24,4.3,,2.3,45.4
108,seoul,2019.3.25,7.3,,2,56.1
108,seoul,2019.3.26,11.4,,2,51.1
108,seoul,2019.3.27,11.6,,3,66.4
108,seoul,2019.3.28,9.4,,2.6,49.9
108,seoul,2019.3.29,9.2,,2.1,33.1
108,seoul,2019.3.30,5.2,1.8,2.9,72
108,seoul,2019.3.31,4.4,0,3.2,46
108,seoul,2019.4.1,5.5,,2.5,39.8
108,seoul,2019.4.2,6.7,,2.2,36.9
108,seoul,2019.4.3,7.6,,2.3,36.1
108,seoul,2019.4.4,9.2,,2.5,43
108,seoul,2019.4.5,11.4,0,2.9,41
108,seoul,2019.4.6,9.3,0.8,1.1,39.9
108,seoul,2019.4.7,12.6,,1.7,43.1
108,seoul,2019.4.8,11.6,,2.5,25.6
108,seoul,2019.4.9,9.2,17.4,2.4,49.1
108,seoul,2019.4.10,7.1,5.6,1.8,78.4
108,seoul,2019.4.11,9.5,,1.9,58
108,seoul,2019.4.12,11.4,,2.2,48.5
108,seoul,2019.4.13,11.8,,1.8,34
108,seoul,2019.4.14,9.6,1.7,2.2,45.5
108,seoul,2019.4.15,11.6,,1.8,30.9
108,seoul,2019.4.16,14.9,,1.6,26.3
108,seoul,2019.4.17,15.3,,1.9,37.5
108,seoul,2019.4.18,12.6,0,2,74.4
108,seoul,2019.4.19,13.8,,1.6,57.5
108,seoul,2019.4.20,14.3,1.2,1.9,66.9
108,seoul,2019.4.21,14.8,0.3,1.9,77.8
108,seoul,2019.4.22,19.3,,1.4,50.6
108,seoul,2019.4.23,20.4,0,1.3,52
108,seoul,2019.4.24,19.5,4.1,1.6,70.4
108,seoul,2019.4.25,13.2,11.3,2,75.9
108,seoul,2019.4.26,8.4,4.9,1.5,82.1
108,seoul,2019.4.27,11.6,,1.7,52.6
108,seoul,2019.4.28,12.9,0,1.6,48.8
108,seoul,2019.4.29,13,,0.9,52.9
108,seoul,2019.4.30,15.5,,1.6,52.8
108,seoul,2019.5.1,16.4,,2.3,48.9
108,seoul,2019.5.2,17.1,,2.3,28.5
108,seoul,2019.5.3,17.9,,1.6,37.5
108,seoul,2019.5.4,19.5,,1.7,40.4
108,seoul,2019.5.5,19.2,,2.2,35.8
108,seoul,2019.5.6,14.5,0,3.1,27.1
108,seoul,2019.5.7,15,,2.3,33.4
108,seoul,2019.5.8,15.6,,2.3,48.3
108,seoul,2019.5.9,16.6,,2.2,43.3
108,seoul,2019.5.10,17.8,,1.9,48
108,seoul,2019.5.11,20.3,,1.8,39
108,seoul,2019.5.12,21.6,,1.5,36
108,seoul,2019.5.13,18.7,0,1.6,43.4
108,seoul,2019.5.14,19.6,,1.6,44.5
108,seoul,2019.5.15,20.7,,1.7,48.1
108,seoul,2019.5.16,23.5,,1.5,43.8
108,seoul,2019.5.17,23.6,,1.2,44.9
108,seoul,2019.5.18,22.8,0,2.1,46.8
108,seoul,2019.5.19,19.4,22,1.2,93
108,seoul,2019.5.20,16.4,8.7,3.4,63.6
108,seoul,2019.5.21,17.2,,2.9,52
108,seoul,2019.5.22,19.5,,2.4,46
108,seoul,2019.5.23,22.1,,1.7,45
108,seoul,2019.5.24,24.2,,1.7,46.4
108,seoul,2019.5.25,23.4,,1.6,45.6
108,seoul,2019.5.26,24.5,,1.8,39
108,seoul,2019.5.27,17.8,7.1,2.4,80.9
108,seoul,2019.5.28,18.1,,2.6,45.9
108,seoul,2019.5.29,20.3,,2,48.4
108,seoul,2019.5.30,19.6,0,2.4,48
108,seoul,2019.5.31,19.1,,2.8,49.6
108,seoul,2019.6.1,18.9,,1.9,60.5
108,seoul,2019.6.2,21.1,,1.7,42.1
108,seoul,2019.6.3,23.1,,1.8,42.9
108,seoul,2019.6.4,22.6,,2.2,56.4
108,seoul,2019.6.5,23,,1.8,63.8
108,seoul,2019.6.6,21.2,7.5,1.2,75.9
108,seoul,2019.6.7,20,35.3,1.9,77.3
108,seoul,2019.6.8,21.9,,1.4,57.5
108,seoul,2019.6.9,21.6,2.5,1.8,66.1
108,seoul,2019.6.10,18.4,9.5,1.6,70.3
108,seoul,2019.6.11,20.5,,1.4,51.1
108,seoul,2019.6.12,21.5,,1.8,57.1
108,seoul,2019.6.13,23,,1.7,51.9
108,seoul,2019.6.14,23,,1.8,54.8
108,seoul,2019.6.15,21.9,2.1,2.4,61.5
108,seoul,2019.6.16,22,,1.6,55.4
108,seoul,2019.6.17,21.7,0,2.3,59.1
108,seoul,2019.6.18,20.8,13.8,1.5,78.6
108,seoul,2019.6.19,21.4,0.2,1.9,77.8
108,seoul,2019.6.20,22.7,,1.9,70.6
108,seoul,2019.6.21,22.1,0.2,1.7,72.9
108,seoul,2019.6.22,24.2,,1.5,42.3
108,seoul,2019.6.23,25,,1.8,40.4
108,seoul,2019.6.24,25.2,,2,46.9
108,seoul,2019.6.25,25.6,,1.6,49.1
108,seoul,2019.6.26,25.5,0,1.3,52.6
108,seoul,2019.6.27,25.5,1.4,1.4,70.5
108,seoul,2019.6.28,24.7,0,1.7,67.3
108,seoul,2019.6.29,23.1,1.5,1.2,72
108,seoul,2019.6.30,23.9,0,2.3,73.5
108,seoul,2019.7.1,23.9,,2.3,64.4
108,seoul,2019.7.2,24.4,,2.3,63.5
108,seoul,2019.7.3,24.1,,1.7,64.6
108,seoul,2019.7.4,25.4,,1.9,59.6
108,seoul,2019.7.5,27.6,0,1.5,42.1
108,seoul,2019.7.6,29.7,,1.7,40.9
108,seoul,2019.7.7,26.7,,2.2,43.3
108,seoul,2019.7.8,25.1,,2,46.6
108,seoul,2019.7.9,25,,1.8,46.4
108,seoul,2019.7.10,22.7,8.5,2,64.1
108,seoul,2019.7.11,21.9,2.9,1.3,76.9
108,seoul,2019.7.12,23.6,,2,65.5
108,seoul,2019.7.13,24.9,0,1.7,67.3
108,seoul,2019.7.14,25.9,,1.6,64.6
108,seoul,2019.7.15,23.8,7.7,1.1,80
108,seoul,2019.7.16,24.7,6.3,1.3,79
108,seoul,2019.7.17,25.6,0.7,1.2,73.9
108,seoul,2019.7.18,26.9,,1.2,65
108,seoul,2019.7.19,28.6,0,1.5,61.3
108,seoul,2019.7.20,28,1.1,2.1,66.9
108,seoul,2019.7.21,25.1,6.2,2.2,87.1
108,seoul,2019.7.22,26.7,0.1,2.2,74.6
108,seoul,2019.7.23,28.1,,1.7,70.8
108,seoul,2019.7.24,26.5,1,1.6,82.3
108,seoul,2019.7.25,26.3,9.7,1.2,90.1
108,seoul,2019.7.26,25.1,60,1.7,95.3
108,seoul,2019.7.27,28.4,0.6,1.3,76.6
108,seoul,2019.7.28,26.1,25.6,2.2,88.3
108,seoul,2019.7.29,27.5,0.5,2.6,74.5
108,seoul,2019.7.30,28.1,1.2,3.4,75.3
108,seoul,2019.7.31,25.8,62.3,2.2,91.1
108,seoul,2019.8.1,26.3,26.9,1.7,86.4
108,seoul,2019.8.2,28.4,,1.2,74.6
108,seoul,2019.8.3,29.4,3,1.3,69
108,seoul,2019.8.4,28.3,8.6,1.2,75.9
108,seoul,2019.8.5,30.5,,1.1,65.5
108,seoul,2019.8.6,31.6,,1.5,51.4
108,seoul,2019.8.7,26.9,8,1.2,78.1
108,seoul,2019.8.8,28.9,0,1.6,71.4
108,seoul,2019.8.9,29.8,,1.3,69
108,seoul,2019.8.10,31.5,,1.5,57.9
108,seoul,2019.8.11,30.4,6.7,2.5,53.6
108,seoul,2019.8.12,26.6,56.2,1.3,91.8
108,seoul,2019.8.13,29.2,6.4,1.5,76.9
108,seoul,2019.8.14,30.4,,1.5,63.9
108,seoul,2019.8.15,25.9,16.2,1.3,82
108,seoul,2019.8.16,25.9,0.1,2.2,74.5
108,seoul,2019.8.17,25.9,0,2.5,69.5
108,seoul,2019.8.18,25.6,,1.7,66.5
108,seoul,2019.8.19,26.3,,1.1,60.6
108,seoul,2019.8.20,28.2,,1.5,56.3
108,seoul,2019.8.21,27,1.3,1.2,67.3
108,seoul,2019.8.22,26.9,,1.7,66.5
108,seoul,2019.8.23,26.2,,2.1,58.4
108,seoul,2019.8.24,24.1,,1.5,60.9
108,seoul,2019.8.25,25,,1.5,66.6
108,seoul,2019.8.26,26.4,,1.2,63.8
108,seoul,2019.8.27,25.7,20,1,71.1
108,seoul,2019.8.28,26.1,,1.9,66.2
108,seoul,2019.8.29,23.4,36.9,2.2,77.1
108,seoul,2019.8.30,22.6,0.2,2.4,66.3
108,seoul,2019.8.31,23.5,,1.9,65